"ATH 255196 Kristendom religion og livssyn årsstudium","Alle"
"ATH 255418 Interkulturell forståelse årsstudium","Alle"
"ATH 255437 Musikk","Alle"
"ATH 255480 Teologi","Alle"
"ATH 255482 Kristendom religion og livssyn","Alle"
"ATH 255752 Psykologi årsstudium","Alle"
"ATH 255777 Musikk årsstudium","Alle"
"ATH 255869 Interkulturell forståelse","Alle"
"ATH 255876 Psykologi med religion og helse","Alle"
"ATH 255936 Praktisk teologi","Alle"
"AHO 189030 Arkitekt",12.3
"AHO 189343 Industridesign",11.7
"BDH 250050 Sykepleierutdanning",45.5
"MF 190196 Kristendom/RLE","Alle"
"MF 190242 Samfunnsfag","Alle"
"MF 190418 Interkulturell kommunikasjon","Alle"
"MF 190480 Teologi profesjonsstudium","Alle"
"MF 190482 Religion kultur og samfunn","Alle"
"MF 190927 Ungdom kultur og tro","Alle"
"MF 190934 Lektor- og adjunktprogram","Alle"
"MF 190936 Teologi","Alle"
"DHS 251050 Sykepleierutdanning Oslo",48.3
"DHS 251060 Vernepleierutdanning Rogaland",41.8
"DHS 251080 Sosialt arbeid Oslo",49.1
"DHS 251081 Sosialt arbeid deltid Oslo",42.4
"DHS 251700 Ergoterapeututdanning Rogaland",32.6
"DMMH 253130 Førskolelærerutdanning",36.3
"DMMH 253131 Førskolelærer estetisk linje",39.1
"DMMH 253132 Førskolelærer natur- og friluftslinje.",44
"DMMH 253133 Førskolelærer deltid",46.2
"DMMH 253529 Førskolelærer interkulturell linje","Alle"
"FIH 258480 Teologi og misjon","Alle"
"FIH 258626 Kristendom religion- og livssynskunnskap","Alle"
"FIH 258777 Musikk","Alle"
"HDH 252050 Sykepleierutdanning",46.1
"HIAK 202050 Sykepleierutdanning",45.3
"HIAK 202060 Vernepleierutdanning",47.4
"HIAK 202061 Vernepleierutdanning deltid",39.3
"HIAK 202063 Vernepleierutdanning deltid Bærum",39.9
"HIAK 202082 Yrkesfaglærerutd. i medier og kommunikasjon","Alle"
"HIAK 202105 Yrkesfaglærerutd. i service og samferdsel","Alle"
"HIAK 202106 Yrkesfaglærerutd. i helse- og sosialfag deltid","Alle"
"HIAK 202108 Yrkesfaglærerutd. i design-og håndverksfag deltid","Alle"
"HIAK 202109 Yrkesfaglærerutd. i bygg og anleggsteknikk","Alle"
"HIAK 202123 Yrkesfaglærerutd. i helse- og sosialfag","Alle"
"HIAK 202124 Yrkesfaglærerutd. i restaurant- og matfag","Alle"
"HIAK 202126 Yrkesfaglærerutd. i design-og håndverksfag","Alle"
"HIAK 202127 Yrkesfaglærerutd. i elektrofag","Alle"
"HIAK 202129 Yrkesfaglærerutd. i teknikk og industriell prod.","Alle"
"HIAK 202405 Produktdesign","Alle"
"HIAK 202408 Samfunnsernæring",49.7
"HIAK 202696 Trafikklærerutdanning","Alle"
"HIAK 202876 Læringspsykologi med vekt på adferdsanalyse",48.4
"HIAK 202896 Husøkonomi og serviceledelse","Alle"
"HIAK 202897 Kostøkonomi ernæring og ledelse","Alle"
"HIB 203003 Ingeniør bygg","Alle"
"HIB 203004 Ingeniør data","Alle"
"HIB 203006 Ingeniør elkraftteknikk","Alle"
"HIB 203009 Ingeniør kjemi","Alle"
"HIB 203011 Ingeniør marinteknikk",43.8
"HIB 203012 Ingeniør maskinteknikk",39.8
"HIB 203017 Ingeniør automatisering","Alle"
"HIB 203024 Ingeniør elektronikk","Alle"
"HIB 203028 Ingeniør kommunikasjonssystemer","Alle"
"HIB 203045 Ingeniør produksjonsteknikk","Alle"
"HIB 203050 Sykepleierutdanning",41.2
"HIB 203060 Vernepleierutdanning",38.2
"HIB 203080 Sosialt arbeid",45.8
"HIB 203096 Ingeniør undervannsteknologi",44.8
"HIB 203130 Førskolelærerutdanning","Alle"
"HIB 203132 Førskolelærerutd. med vekt på kunstfag","Alle"
"HIB 203133 Førskolelærerutd m/vekt på natur og friluftsliv",34.8
"HIB 203203 Folkehelsearbeid",45.5
"HIB 203369 Økonomi og administrasjon",46.6
"HIB 203395 Informasjonsteknologi","Alle"
"HIB 203440 Idrett faglærerutdanning",44.7
"HIB 203466 Tegnspråk og tolking","Alle"
"HIB 203547 Grunnskolelærer 1.-7. trinn m/kroppsøving",40.5
"HIB 203548 Grunnskolelærer 1.-7. trinn med musikk","Alle"
"HIB 203550 Grunnskolelærer 1.-7. trinn m/samfunnsfag","Alle"
"HIB 203551 Grunnskolelærer 1.-7. trinn med engelsk","Alle"
"HIB 203557 Grunnskolelærer 1.-7. trinn m/naturfag","Alle"
"HIB 203559 Grunnskolelærer 1.-7. trinn med RLE","Alle"
"HIB 203599 Grunnskolelærer 1.-7. trinn med mat og helse",44.3
"HIB 203618 Drama",39.2
"HIB 203655 Grunnskolelærer 5.-10. trinn med matematikk",43.8
"HIB 203657 Grunnskolelærer 5.-10. trinn med samfunnsfag",44.7
"HIB 203658 Grunnskolelærer 5.-10. trinn med norsk",40.4
"HIB 203659 Grunnskolelærer 5.-10. trinn med mat og helse",43.5
"HIB 203660 Grunnskolelærer 5.-10. trinn med musikk","Alle"
"HIB 203667 Musikk",46.3
"HIB 203700 Ergoterapeututdanning",42.5
"HIB 203701 Radiografutdanning",36.2
"HIB 203702 Bioingeniørutdanning",42.3
"HIB 203703 Fysioterapeututdanning",49.7
"HIB 203753 Landmåling og eiendomsdesign",35.6
"HIB 203822 Ingeniør energiteknologi",45.5
"HIBU 205004 Ingeniør data  Kongsberg","Alle"
"HIBU 205005 Ingeniør elektro Kongsberg","Alle"
"HIBU 205012 Ingeniør maskin Kongsberg","Alle"
"HIBU 205050 Sykepleier Drammen",30.4
"HIBU 205155 Lysdesign Drammen","Alle"
"HIBU 205160 Økonomi og administrasjon1-årig Kongsberg","Alle"
"HIBU 205162 Økonomi og administrasjon 1-årig Hønefoss.","Alle"
"HIBU 205246 Juss årsstudium Hønefoss",43.8
"HIBU 205251 Visuell kommunikasjon Drammen",43.8
"HIBU 205291 Økonomi og ledelse - siviløkonom Kongsberg","Alle"
"HIBU 205317 Reiselivsledelse Hønefoss","Alle"
"HIBU 205345 Økonomi og ledelse - siviløkonom Hønefoss","Alle"
"HIBU 205370 Dynamisk webdesign Hønefoss","Alle"
"HIBU 205395 IT og informasjonssystemer Hønefoss","Alle"
"HIBU 205404 Økonomi og administrasjon Kongsberg",29.1
"HIBU 205414 Økonomi og administrasjon Hønefoss","Alle"
"HIBU 205526 Juss Hønefoss",45.2
"HIBU 205547 Grunnskolelærer 1.-7. trinn Drammen","Alle"
"HIBU 205620 IT og informasjonssystemer 1-årig Hønefoss","Alle"
"HIBU 205623 Engelsk Hønefoss","Alle"
"HIBU 205651 Grunnskolelærer 5.-10. trinn med språkfag Drammen","Alle"
"HIBU 205655 Grunnskolelærer 5.-10. trinn med realfag Drammen","Alle"
"HIBU 205657 Grunnskolelærer 5.-10. trinn med samfunnsfag Dr.","Alle"
"HIBU 205672 Norsk Hønefoss","Alle"
"HIBU 205701 Radiograf Drammen",30.8
"HIBU 205867 Juss og ledelse Hønefoss",41.8
"HIBU 205881 Statsvitenskap  Drammen",36.5
"HIBU 205894 Optometri Kongsberg","Alle"
"HIG 207003 Ingeniør bygg","Alle"
"HIG 207004 Ingeniør data","Alle"
"HIG 207005 Ingeniør elektro","Alle"
"HIG 207012 Ingeniør maskin","Alle"
"HIG 207046 Medieteknologi","Alle"
"HIG 207050 Sykepleierutdanning",30.7
"HIG 207051 Sykepleierutdanning deltid","Alle"
"HIG 207052 Sykepleierutdanning deltid Gudbrandsdal","Alle"
"HIG 207053 Sykepleierutdanning deltid Valdres","Alle"
"HIG 207054 Sykepleierutdanning deltid Hadeland","Alle"
"HIG 207098 Teknologidesign årsstudium deltid","Alle"
"HIG 207099 Landmåling årsstudium fleksibel","Alle"
"HIG 207102 Geografiske informasjonssystemer (GIS) års fleks","Alle"
"HIG 207136 Mediemanagement årsstudium","Alle"
"HIG 207149 Mediedesign",42
"HIG 207160 Økonomi og ledelse årsstudium","Alle"
"HIG 207188 Medie- og informasjonsteknologi årsstudium","Alle"
"HIG 207248 Landmåling årsstudium","Alle"
"HIG 207264 Medieproduksjon","Alle"
"HIG 207369 Økonomi og ledelse","Alle"
"HIG 207374 Drift av nettverk og datasystemer","Alle"
"HIG 207395 Programvareutvikling","Alle"
"HIG 207396 Geografiske informasjonssystemer (GIS) årsstudium","Alle"
"HIG 207404 Økonomi og ledelse fleksibel","Alle"
"HIG 207406 Geomatikk","Alle"
"HIG 207429 Informasjonssikkerhet","Alle"
"HIG 207602 Teknologidesign årsstudium","Alle"
"HIG 207604 Medieproduksjon årsstudium","Alle"
"HIG 207673 Spillprogrammering","Alle"
"HIG 207701 Radiografutdanning","Alle"
"HIG 207824 Teknologidesign og ledelse","Alle"
"HIG 207838 Mediemanagement","Alle"
"HIH 208035 Økonomi og ledelse","Alle"
"HIH 208050 Sykepleierutdanning",38.2
"HIH 208051 Sykepleierutdanning deltid","Alle"
"HIH 208060 Vernepleierutdanning","Alle"
"HIH 208070 Barnevernspedagogutdanning",35.2
"HIH 208071 Barnevernspedagogutdanning deltid - Tromsø",40.7
"HIH 208164 Økonomi og ledelse årsstudium","Alle"
"HIH 208318 Regnskap og revisjon","Alle"
"HIH 208350 Handel service og logistikk","Alle"
"HIM 211050 Sykepleierutdanning studiegruppe Molde",30.3
"HIM 211056 Sykepleierutdanning studiegruppe Kristiansund","Alle"
"HIM 211060 Vernepleierutdanning",42.4
"HIM 211164 Bedriftsøkonomi","Alle"
"HIM 211185 Idrett",39.6
"HIM 211189 Informasjonsbehandling","Alle"
"HIM 211238 Statsvitenskap","Alle"
"HIM 211246 Jus",39.1
"HIM 211292 Logistikk og Supply Chain Management","Alle"
"HIM 211318 Revisjon","Alle"
"HIM 211369 Økonomi og administrasjon","Alle"
"HIM 211370 IT og logistikk","Alle"
"HIM 211404 Siviløkonom 1. avdeling",41
"HIM 211432 Internasjonal logistikk Ålesund","Alle"
"HIM 211488 Sport Management idrettsledelse",39.4
"HIM 211627 Petroleumslogistikk deltid","Alle"
"HIM 211841 Jus og administrasjon","Alle"
"HIM 211866 Petroleumslogistikk Kristiansund",44.9
"HIN 212003 Ingeniør Bygg","Alle"
"HIN 212004 Ingeniør Datateknikk","Alle"
"HIN 212005 Ingeniør Industriell Elektronikk","Alle"
"HIN 212006 Ingeniør Elkraftteknikk","Alle"
"HIN 212018 Ingeniør Prosessteknologi","Alle"
"HIN 212027 Ingeniør Satelitteknologi","Alle"
"HIN 212034 Ingeniør Industriteknikk","Alle"
"HIN 212040 Ingeniør første studieår Alta","Alle"
"HIN 212050 Sykepleierutdanning","Alle"
"HIN 212075 Ingeniør Bygg nettbasert","Alle"
"HIN 212076 Ingeniør Industriteknikk nettbasert","Alle"
"HIN 212077 Ingeniør Prosessteknologi nettbasert","Alle"
"HIN 212078 Ingeniør Datateknikk nettbasert","Alle"
"HIN 212079 Ingeniør Elektro første år nettbasert","Alle"
"HIN 212410 Økonomi og administrasjon","Alle"
"HIN 212761 Elektroteknikk","Alle"
"HIN 212804 Data/IT","Alle"
"HIN 212805 Ingeniørdesign","Alle"
"HIN 212806 Integrert bygningsteknologi","Alle"
"HIN 212811 Industriell teknologi","Alle"
"HIN 212814 Satelitteknologi","Alle"
"HIN 212872 Internasjonal beredskap","Alle"
"HINE 213130 Førskolelærer","Alle"
"HINE 213131 Førskolelærerutdanning deltid samlingsbasert","Alle"
"HINE 213170 Engelsk årsstudium 5-10","Alle"
"HINE 213505 Kunst og håndverk 1-7","Alle"
"HINE 213547 Grunnskolelærer  1-7","Alle"
"HINE 213602 Design og bruk av digitale medier årsstudium Mo","Alle"
"HINE 213620 Informasjonsteknologi årsstudium Mo i Rana","Alle"
"HINE 213623 Engelsk årsstudium 1-7","Alle"
"HINE 213642 Kunst og håndverk 5-10","Alle"
"HINE 213651 Grunnskolelærer 5-10","Alle"
"HINE 213655 Grunnskolelærer 5-10 Narvik","Alle"
"HINE 213666 Naturfag samlingsbasert 5-10","Alle"
"HINE 213667 Kreativt musikkarbeid årsstudium 5-10","Alle"
"HINE 213680 Samfunnsfag samlingsbasert 5-10","Alle"
"HINE 213777 Kreativt musikkarbeid årsstudium 1-7","Alle"
"HINE 213796 Drama og teater årsstudium","Alle"
"HINT 214050 Sykepleierutdanning Levanger",40.9
"HINT 214058 Sykepleierutdanning Namsos","Alle"
"HINT 214060 Vernepleierutdanning Namsos","Alle"
"HINT 214130 Førskolelærerutdanning Levanger","Alle"
"HINT 214185 Idrett Levanger",41.8
"HINT 214240 Sosiologi Steinkjer","Alle"
"HINT 214318 Revisjon Steinkjer","Alle"
"HINT 214321 Husdyrfag velferd og produksjon Steinkjer","Alle"
"HINT 214323 Utmarksforvaltning Steinkjer","Alle"
"HINT 214369 Økonomi og administrasjon Steinkjer","Alle"
"HINT 214388 Naturforvaltning Steinkjer","Alle"
"HINT 214396 Geografi nettbasert Steinkjer","Alle"
"HINT 214419 Kommunal økonomi og ledelse Steinkjer","Alle"
"HINT 214421 Husdyrvelferd Steinkjer årsstudium","Alle"
"HINT 214430 Multimedieteknologi Steinkjer","Alle"
"HINT 214440 Kroppsøving og idrettsfag faglærerut. Levanger",45
"HINT 214468 Grønn næringsutvikling Steinkjer","Alle"
"HINT 214516 Regnskap Steinkjer","Alle"
"HINT 214547 Grunnskolelærerutdanning 1.-7. trinn Levanger","Alle"
"HINT 214605 Friluftsliv Levanger","Alle"
"HINT 214623 Engelsk Levanger","Alle"
"HINT 214639 Faglærerutd i musikk - rytmisk profil Levanger","Alle"
"HINT 214642 Kunst og håndverk Levanger","Alle"
"HINT 214649 Kroppsøving Levanger","Alle"
"HINT 214651 Grunnskolelærerutdanning 5.-10. trinn Levanger","Alle"
"HINT 214667 Musikk Levanger","Alle"
"HINT 214673 Spill- og opplevelsesteknologi Steinkjer","Alle"
"HINT 214680 Samfunnsfag Levanger","Alle"
"HINT 214696 Trafikklærerutdanning Stjørdal",42.1
"HINT 214749 Farmasiutdanning Namsos","Alle"
"HSF 216005 Ingeniør elektro Førde","Alle"
"HSF 216050 Sykepleierutdanning Førde start høst","Alle"
"HSF 216052 Sykepleierutdanning Førde start vår","Alle"
"HSF 216053 Sykepleierutdanning samlingsbasert deltid Førde","Alle"
"HSF 216060 Vernepleierutdanning","Alle"
"HSF 216070 Barnevernspedagogutdanning","Alle"
"HSF 216080 Sosialt arbeid",32.2
"HSF 216130 Førskolelærerutdanning","Alle"
"HSF 216131 Førskolelærerutdanning samlingsbasert deltid","Alle"
"HSF 216164 Bedriftsøkonomi","Alle"
"HSF 216170 Engelsk","Alle"
"HSF 216185 Idrett",38.2
"HSF 216242 Samfunnsfag","Alle"
"HSF 216246 Jus",34.6
"HSF 216302 Friluftsliv","Alle"
"HSF 216310 Landskapsplanlegging med landskapsarkitektur","Alle"
"HSF 216330 Reiselivsledelse","Alle"
"HSF 216351 Ungdomssosiologi","Alle"
"HSF 216368 Eiendomsmegling","Alle"
"HSF 216369 Økonomi og administrasjon","Alle"
"HSF 216373 Naturfag","Alle"
"HSF 216440 Idrett fysisk aktivitet og helse",40.7
"HSF 216469 Geologi og geofare","Alle"
"HSF 216481 Historie","Alle"
"HSF 216485 Idrett og kroppsøving",32.1
"HSF 216547 Grunnskulelærarutdanning 1.-7. trinn","Alle"
"HSF 216548 Grunnskulelærarutdanning 1.-7. trinn saml/deltid","Alle"
"HSF 216651 Grunnskulelærarutdanning 5.-10. trinn","Alle"
"HSF 216754 Reiseliv","Alle"
"HSF 216835 Fornybar energi","Alle"
"HSF 216927 Sosiologi - ungdomssosiologi","Alle"
"STAF 234196 Kristendom årsstudium","Alle"
"STAF 234437 Musikk menighet og ledelse","Alle"
"STAF 234480 Teologi og ledelse","Alle"
"HSH 218002 Ingeniør brannsikkerhet Haugesund","Alle"
"HSH 218012 Ingeniør maskin Haugesund","Alle"
"HSH 218047 Ingeniør kvalitet HMS Haugesund","Alle"
"HSH 218050 Sykepleierutdanning Stord",31.3
"HSH 218056 Sykepleierutdanning Haugesund",31.5
"HSH 218130 Førskolelærerutd. ordinær linje Stord","Alle"
"HSH 218134 Førskolelærerutd. natur og friluftslinje Stord","Alle"
"HSH 218157 Faglærerutdanning i musikk Stord","Alle"
"HSH 218353 Maritim utdanning nautikk Haugesund",37.3
"HSH 218369 Økonomi og administrasjon Haugesund","Alle"
"HSH 218505 Kunst og håndverk Stord","Alle"
"HSH 218547 Grunnskolelærerutdanning 1.-7. trinn","Alle"
"HSH 218623 Engelsk Stord","Alle"
"HSH 218649 Idrett/Kroppsøving Stord",34.4
"HSH 218651 Grunnskolelærerutdanning 5.-10. trinn","Alle"
"HSH 218680 Samfunnsfag Stord","Alle"
"HIT 220003 Ingeniør bygg","Alle"
"HIT 220006 Ingeniør elkraft","Alle"
"HIT 220012 Ingeniør maskin","Alle"
"HIT 220035 Økonomi og administrasjon 2 år Bø","Alle"
"HIT 220050 Sykepleierutdanning",32.2
"HIT 220051 Sykepleierutdanning deltid 4 år","Alle"
"HIT 220060 Vernepleierutdanning",32.1
"HIT 220061 Vernepleierutdanning deltid","Alle"
"HIT 220070 Barnevern i et flerkulturelt samfunn",32.8
"HIT 220090 Ingeniør informatikk og automatisering","Alle"
"HIT 220130 Førskolelærerutdanning Notodden","Alle"
"HIT 220131 Førskolelærer deltid - samlingsbasert  Notodden","Alle"
"HIT 220132 Førskolelærerutdanning Drammen","Alle"
"HIT 220133 Førskolelærerutdanning Porsgrunn","Alle"
"HIT 220140 Faglærer i kroppsøving og idrettsfag Notodden","Alle"
"HIT 220150 Faglærer i formgiving kunst og håndv. Notodden","Alle"
"HIT 220164 Bedriftsøkonomi årsstudium Bø","Alle"
"HIT 220167 Bedriftsøkonomi Porsgrunn",33.6
"HIT 220170 Engelsk årsstudium Bø","Alle"
"HIT 220172 Friluftsliv kultur og naturveiledning årsstud Bø","Alle"
"HIT 220179 Historie årsstudium Bø","Alle"
"HIT 220185 Idrett årsstudium Bø",34.3
"HIT 220187 Informasjonsbehandling årsstudium  Bø","Alle"
"HIT 220188 Informasjonsbehandling årsstudium Porsgrunn","Alle"
"HIT 220210 Norsk årsstudium Bø","Alle"
"HIT 220273 Kultur-arrangering formidling og forv. 2-årig","Alle"
"HIT 220302 Friluftsliv kultur- og naturveiledning  Bø","Alle"
"HIT 220308 Kultur-arrangering formidling og forvaltning Bø","Alle"
"HIT 220317 Reiseliv Bø","Alle"
"HIT 220318 Revisjon Bø","Alle"
"HIT 220359 Internasjonal markedsføring Bø","Alle"
"HIT 220368 Eiendomsmegling Bø",37.3
"HIT 220369 Økonomi og administrasjon Bø","Alle"
"HIT 220388 Økologi og naturressurser Bø","Alle"
"HIT 220395 Informatikk Bø","Alle"
"HIT 220400 Idéhistorie Bø","Alle"
"HIT 220440 Idrettsvitenskap Bø","Alle"
"HIT 220441 Visuelle kunstfag og design Notodden","Alle"
"HIT 220442 Folkekunst Rauland","Alle"
"HIT 220443 Folkemusikk Rauland","Alle"
"HIT 220447 Natur og friluftsliv  Bø","Alle"
"HIT 220448 Forurensing og miljø Bø","Alle"
"HIT 220449 Informasjonssystemer Bø","Alle"
"HIT 220463 Humanistiske fag Bø","Alle"
"HIT 220505 Leire – kunst og design 1 Notodden","Alle"
"HIT 220532 Form og design Notodden","Alle"
"HIT 220547 Grunnskolelærer 1.-7. trinn Notodden","Alle"
"HIT 220548 Grunnskolelærer 1.-7. trinn Porsgrunn","Alle"
"HIT 220550 Grunnskolelærer 1.-7. trinn nettbasert","Alle"
"HIT 220551 Grunnskolelærer 1.-7. trinn desentralisert","Alle"
"HIT 220602 Digital mediedesign Notodden","Alle"
"HIT 220605 Natur og friluftsliv årsstudium Bø","Alle"
"HIT 220613 Historie deltid nett- og samlingsbasert","Alle"
"HIT 220628 Folkekunst årsstudium Rauland","Alle"
"HIT 220629 Folkemusikk årsstudium Rauland","Alle"
"HIT 220630 Kunst og håndverk årsstudium Notodden","Alle"
"HIT 220637 Tegning - bilde årsstudium Notodden","Alle"
"HIT 220649 Kroppsøving og idrettsfag årsstudium Notodden","Alle"
"HIT 220651 Grunnskolelærer 5.-10. trinn Porsgrunn","Alle"
"HIT 220655 Grunnskolelærer 5.-10. Notodden og desentralisert","Alle"
"HIT 220657 Grunnskolelærer 5.-10. trinn nettbasert","Alle"
"HIT 220672 Norsk deltid nett og samlingsbasert Bø","Alle"
"HIT 220688 Ingeniør gass- og energiteknologi","Alle"
"HIT 220895 Innovasjon og entreprenørskap Bø","Alle"
"HIT 220912 Spansk Bø","Alle"
"HIVE 222004 Ingeniør datateknikk","Alle"
"HIVE 222005 Ingeniør elektronikk","Alle"
"HIVE 222012 Ingeniør produktdesign","Alle"
"HIVE 222017 Ingeniør elektro-automasjon","Alle"
"HIVE 222044 Skipsfart og logistikk","Alle"
"HIVE 222050 Sykepleierutdanning",33.5
"HIVE 222130 Førskolelærerutdanning","Alle"
"HIVE 222131 Førskolelærerutdanning deltid","Alle"
"HIVE 222164 Bedriftsøkonomi",33.8
"HIVE 222170 Engelsk","Alle"
"HIVE 222179 Historie årsstudium","Alle"
"HIVE 222205 Matematikk","Alle"
"HIVE 222240 Sosiologi årsstudium",35.6
"HIVE 222242 Samfunnsfag","Alle"
"HIVE 222318 Revisjon","Alle"
"HIVE 222351 Ungdomskunnskap","Alle"
"HIVE 222352 Maritim teknisk driftsledelse","Alle"
"HIVE 222353 Nautikk","Alle"
"HIVE 222369 Økonomi og administrasjon",36.7
"HIVE 222412 Informasjonssystemer","Alle"
"HIVE 222418 Internasjonal forståelse og samarbeid","Alle"
"HIVE 222440 Idrett ernæring og helse",39.6
"HIVE 222446 Mat og helse","Alle"
"HIVE 222453 Informasjonssystemer og IT-ledelse","Alle"
"HIVE 222481 Historie","Alle"
"HIVE 222547 Grunnskolelærerutdanning 1.-7. trinn","Alle"
"HIVE 222548 Grunnskolelærerutdanning 1.- 7. trinn trainee","Alle"
"HIVE 222620 IKT i læring","Alle"
"HIVE 222626 Religion livssyn og etikk","Alle"
"HIVE 222642 Kunst og håndverk","Alle"
"HIVE 222649 Idrett årsstudium",40.8
"HIVE 222651 Grunnskolelærerutdanning 5.-10. trinn","Alle"
"HIVE 222666 Naturfag","Alle"
"HIVE 222667 Musikk","Alle"
"HIVE 222672 Norsk","Alle"
"HIVE 222796 Teater for barn og unge","Alle"
"HIVE 222823 Ingeniør mikro- og nanoteknologi","Alle"
"HIVE 222880 Sosiologi","Alle"
"HIVE 222912 Spansk","Alle"
"HIØ 224003 Ingeniør bygg Fredrikstad","Alle"
"HIØ 224004 Ingeniør data Halden","Alle"
"HIØ 224005 Ingeniør elektro Fredrikstad","Alle"
"HIØ 224012 Ingeniør maskin Fredrikstad","Alle"
"HIØ 224035 Økonomi og administrasjon Halden","Alle"
"HIØ 224050 Sykepleierutdanning Fredrikstad",32.9
"HIØ 224051 Sykepleierutdanning deltid Fredrikstad","Alle"
"HIØ 224060 Vernepleierutdanning Fredrikstad",31.5
"HIØ 224061 Vernepleierutdanning deltid Fredrikstad","Alle"
"HIØ 224070 Barnevern Fredrikstad",37.9
"HIØ 224080 Sosialt arbeid Fredrikstad",39.3
"HIØ 224130 Førskolelærerutdanning Halden","Alle"
"HIØ 224131 Førskolelærerutdanning deltid Halden","Alle"
"HIØ 224170 Engelsk Halden","Alle"
"HIØ 224210 Norsk Halden","Alle"
"HIØ 224238 Statsvitenskap Halden","Alle"
"HIØ 224244 Tysk Halden","Alle"
"HIØ 224270 Informatikk -design/utvikl. av IT-systemer Halden","Alle"
"HIØ 224318 Revisjon Halden","Alle"
"HIØ 224398 Bedriftsøkonomi Halden","Alle"
"HIØ 224453 Informasjonssystemer Halden","Alle"
"HIØ 224455 Internasjonal kommunikasjon Halden","Alle"
"HIØ 224474 Samfunn språk og kultur Halden","Alle"
"HIØ 224505 Kunst og håndverk Halden","Alle"
"HIØ 224547 Grunnskolelærerutdanning 1.-7. trinn Halden","Alle"
"HIØ 224610 Fransk Halden","Alle"
"HIØ 224620 Informasjonsteknologi Halden","Alle"
"HIØ 224626 Religion livssyn og etikk Halden","Alle"
"HIØ 224649 Kroppsøving og idrett Halden",33.5
"HIØ 224651 Grunnskolelærerutdanning 5.-10. trinn Halden","Alle"
"HIØ 224661 Matematikk Halden","Alle"
